RA,Dec,MagV,Identifier,Name,Bayer,HR,HD,IAUboundary
105.4849317,-5.722063131,5.192,HIP 33878,-,-,2639,52666,Mon
105.5644911,-43.40387906,6.431,HIP 33909,-,-,2658,53253,Pup
105.5728917,15.33600982,5.75,HIP 33914,-,-,2632,52556,Gem
105.60325,24.21544625,5.181,HIP 33927,-,ω Geminorum,2630,52497,Gem
105.6063911,17.75551959,5.94,HIP 33929,-,NP Gem,2631,52554,Gem
105.638697,16.67444524,5.848,HIP 33937,-,-,2635,52609,Gem
105.7282386,-4.239232115,5,HIP 33971,-,19 Mon,2648,52918,Mon
105.7561306,-23.83329397,3.02,HIP 33977,-,ο 2 Canis Majoris,2653,53138,CMa
105.8129086,-59.17810494,5.85,-,-,-,2674,53921A,Car
105.8246426,9.138357838,5.953,HIP 34002,-,-,2647,52913,Mon
105.9086328,10.95181765,5.117,HIP 34033,-,-,2649,52960,Gem
105.9395561,-15.633287,4.12,HIP 34045,Muliphein,γ Canis Majoris,2657,53244,CMa
105.9649947,12.59424254,5.985,HIP 34055,-,-,2651,52976,Gem
105.9733422,-49.58393872,4.925,HIP 34059,-,H Pup,2672,53811,Pup
105.9888134,-43.60803496,5.28,HIP 34065,-,-,2667,53705,Pup
105.9894007,-10.12376472,6.428,HIP 34066,-,-,2656,53240,Mon
106.011636,-42.33728669,5.19,HIP 34081,-,C Pup,2666,53704,Pup
106.0218639,-5.323975146,5.602,HIP 34086,-,-,2655,53208,Mon
106.0272135,20.57029847,3.79,HIP 34088,Mekbuda,ζ Geminorum,2650,52973,Gem
106.0762892,-56.74970225,5.17,HIP 34105,-,V386 Car,2683,54118,Car
106.1960473,-22.0316877,6.072,HIP 34142,-,-,2664,53629,CMa
106.2874534,47.77504172,6.359,HIP 34168,-,-,2645,52860,Lyn
106.3182069,-50.36003885,6.449,HIP 34177,-,-,2687,54179,Pup
106.3265371,22.63745825,6.01,HIP 34182,-,44 Gem,2659,53257,Gem
106.3834161,-34.77769942,6.43,-,-,-,2677,53952A,Pup
106.4126061,9.185790691,5.78,HIP 34215,-,-,2663,53510,Mon
106.4652974,70.73192521,6.48,HIP 34238,-,-,2617,52030,Cam
106.5020295,-30.65571078,6.325,HIP 34248,-,-,2680,54031,CMa
106.5051517,59.80185096,6.39,HIP 34250,-,-,2642,52708,Lyn
106.5094495,-38.38286472,6.083,HIP 34253,-,-,2685,54153,Pup
106.548299,34.47396785,5.551,HIP 34267,-,-,2660,53329,Gem
106.5596376,-68.83758138,6.474,HIP 34270,-,7 G. Vol,2712,55151,Vol
