RA,Dec,MagV,Identifier
349.4737457209620,+30.4585216593065,6.99,HIP 115029
350.2064900198651,+30.4149230141623,5.557,HIP 115271
350.5208659512418,+28.6948051676407,6.73,HIP 115366
353.4169364509718,+29.8746532895416,7.21,HIP 116286
352.9292898502819,+28.4034872687092,6.388,HIP 116119
352.8755473081719,+28.6661722068068,6.518,HIP 116102
356.6062968749895,+28.7036134628506,6.97,HIP 117246
356.7183924492290,+28.4196834536500,7.24,HIP 117280
357.1459806308297,+28.3710318980594,7.03,HIP 117423
357.4141445231510,+28.8423885628898,5.96,HIP 117500
358.7349512346710,+29.4756139659796,6.77,HIP 117906
002.2506686600967,+28.2475396748386,6.47,HIP 728
001.5022279929329,+28.2769500167315,6.59,HIP 502
000.3964237694179,+28.4236908161144,6.84,HIP 121
002.09691619,+29.09043112,2.06,HIP 677
002.6114902159229,+28.6528852780968,7.17,HIP 852
001.6480843046762,+28.5534039611601,6.68,HIP 540
003.0060800265390,+28.6065272709848,7.17,HIP 971
004.5865126206558,+30.3959425720246,7.08,HIP 1477
005.7078257655832,+29.4542805919784,6.94,HIP 1799
008.2045265355801,+28.2802410158608,6.33,HIP 2583
007.5306778429045,+29.7515534743601,5.214,HIP 2355
009.6389472220862,+29.3117579416169,4.38,HIP 3031
012.47152922,+27.71028686,5.57,HIP 3885
013.4040586871016,+29.4892583664873,6.71,HIP 4197
012.2903706010812,+28.7192717876036,7.18,HIP 3830
012.5613642564221,+28.3689826294875,7.22,HIP 3914
013.8550910551248,+28.5594389780355,7.18,HIP 4329
014.7627010590388,+27.6571397741251,6.98,HIP 4608
014.4589645610695,+28.9922162069288,5.438,HIP 4510
014.4740232392832,+29.5213655390551,7.2,HIP 4517
016.1151030102694,+29.6587861546904,6.202,HIP 5034
015.6484241380169,+27.7479535487535,6.87,HIP 4868
017.0639144609229,+28.8679389520118,6.85,HIP 5339
018.5204394882221,+28.5295746670088,6.347,HIP 5772
020.2807190999667,+28.7382093378768,5.223,HIP 6315
019.8666370358,+27.2640598692,4.748,HIP 6193
021.6824007567635,+27.2465680508324,6.76,HIP 6736
023.9095068060927,+28.2696111604186,6.879,HIP 7421
024.8096082210462,+27.7564138248830,7.15,HIP 7708
027.3632122998903,+26.4726390860599,6.9,HIP 8490
030.91393946,+25.93547582,5.694,HIP 9621
033.1564189428690,+24.1677823879563,5.95,HIP 10296
031.0881747803713,+25.9201460605143,7.15,HIP 9669
031.7332053908574,+26.3233942054444,7.29,HIP 9864
031.6773155057420,+25.8308491786916,7.26,HIP 9851
031.7051444446812,+25.7045561758998,6.02,HIP 9859
032.3555207688508,+25.9398378657198,4.977,HIP 10053
032.8002303782062,+25.9369433998608,5.999,HIP 10203
032.0709579728451,+24.8192417931242,7.16,HIP 9963
033.4224996965117,+25.5961391742738,7.1,HIP 10378
033.92823592,+25.04304520,5.579,HIP 10535
036.4670623205203,+25.1596195833715,7.1,HIP 11336
037.6348055448352,+25.2350285714463,5.879,HIP 11670
039.2406037051442,+24.6480562909606,7.09,HIP 12184
039.2521811479032,+24.6472188952595,6.48,HIP 12189
037.3070090057894,+23.4690248684011,6.19,HIP 11578
041.8140855734804,+22.9603152609290,7.19,HIP 13012
044.72113233,+21.61773404,6.73,HIP 13892
044.80302232,+21.34043264,4.63,HIP 13914
315.8740713738876,+23.9962613219051,7.26,HIP 103933
319.0708551947976,+26.3502909994113,7.19,HIP 105016
318.9882209305117,+25.4338343063390,6.98,HIP 105000
319.6646633053236,+24.6594571043691,6.62,HIP 105205
321.1416879571939,+26.1745590035921,5.658,HIP 105703
321.0310296502835,+25.3124214012842,6.19,HIP 105660
321.2489825945162,+27.4179976175623,6.99,HIP 105738
321.9169047259628,+27.6085922404367,5.379,HIP 105966
321.2004305533209,+25.8804593802732,7.054,HIP 105724
322.1761402383766,+25.9213440468580,6.553,HIP 106036
323.8296503126319,+28.1976069912145,6.31,HIP 106595
326.0357402981634,+28.7426268695850,4.5,HIP 107310
326.0799300883459,+28.7816013063496,6.9,HIP 107326
328.1246529449185,+28.7935421339924,5.53,HIP 107975
329.3716372624247,+29.3101039086146,7.18,HIP 108385
329.6701331288681,+29.8126270653907,6.96,HIP 108490
330.8102534106401,+30.2032084076851,7.01,HIP 108864
331.3944777573161,+28.9639773776790,5.7,HIP 109056
332.7154527799982,+30.5529991726852,6.32,HIP 109493
333.4112435922835,+28.6080142968126,5.867,HIP 109730
337.2824701677160,+29.0291823228705,7.143,HIP 110985
334.7799563820349,+28.8476488937288,7.167,HIP 110184
335.9849618126274,+31.2617513397536,7.04,HIP 110569
337.5349366071047,+31.2157899064404,6.58,HIP 111075
337.8931315843499,+29.5427588653403,6.33,HIP 111191
338.6976008183266,+29.9573977540127,7.14,HIP 111455
339.4823648914834,+29.9237670668468,7.27,HIP 111728
340.3804504357624,+30.9658606711856,6.36,HIP 112032
340.7505155056360,+30.2211186300423,2.95,HIP 112158
341.9334210911837,+30.1297263185860,7.25,HIP 112548
345.6390643870457,+31.7815966850102,6.55,HIP 113783
345.1767268785513,+31.0829607872221,6.6,HIP 113621
346.9493178797228,+30.4395986589160,7.18,HIP 114213
346.1517482325932,+31.3074588118119,6.763,HIP 113952
346.86551104,+32.82534069,6.14,HIP 114187
347.57139934,+32.48703451,7.03,HIP 114415
347.7431266767724,+31.1508364138839,7.29,HIP 114471
351.1288038930586,+30.7122291928438,7.18,HIP 115563
350.4788524722105,+31.8124768064106,5.348,HIP 115355
349.4260251547312,+31.0300183041028,7.01,HIP 115018
351.2118007210262,+32.3848805437539,5.548,HIP 115591
353.6591801033151,+33.4973291630342,5.621,HIP 116355
354.1271373130396,+32.9042120420820,6.335,HIP 116505
353.7460293033600,+31.8354796497908,7.28,HIP 116381
353.8801861545908,+32.1978684589755,6.53,HIP 116427
353.48828297,+31.32527939,5.008,HIP 116310
359.0314701056175,+33.4874795550928,7.06,HIP 118004
359.7051494801454,+32.3817055469403,6.515,HIP 118224
002.6349955303836,+33.1308846514809,6.803,HIP 858
001.89659446,+31.66899893,6.872,HIP 619
002.0071372697879,+31.3911580931806,7.11,HIP 652
002.0399909422926,+31.3789962351371,7.25,HIP 659
005.1016711446129,+30.9356138682403,5.869,HIP 1630
003.5094934774041,+33.2060407264702,6.25,HIP 1123
005.1896549329512,+32.9111866877559,5.794,HIP 1657
003.7789601675425,+31.5357256554741,6.34,HIP 1208
004.6594072922648,+31.5172303794522,5.875,HIP 1493
006.1653154911853,+31.3730658894082,6.75,HIP 1952
007.1190389773738,+32.4377442031295,6.91,HIP 2243
009.8319799204,+30.8610217556,3.28,HIP 3092
013.2823634402243,+30.3492162037755,7.25,HIP 4159
011.6014383039439,+30.9426442900598,7.14,HIP 3617
013.5415254857032,+32.8884090686080,7.2,HIP 4246
012.8537424627975,+32.6570746628840,7.29,HIP 4005
015.7045703520312,+31.8042634368788,5.5,HIP 4889
016.5466681846763,+32.1814867659390,6.26,HIP 5175
018.3865295677148,+29.7362256136249,6.74,HIP 5717
018.2207999266690,+32.0754404307129,6.98,HIP 5671
017.7781885244572,+31.4247266900742,5.152,HIP 5544
019.3504639703833,+31.7446164301999,6.36,HIP 6025
017.9150794560010,+30.0896391626639,4.511,HIP 5586
018.2478107652378,+30.0642272740366,6.23,HIP 5679
022.0797700384376,+30.5577090933991,6.91,HIP 6862
021.8354609983606,+29.7709653265655,7.27,HIP 6786
025.4134852279956,+30.0471189896196,5.961,HIP 7906
029.4322665828433,+27.8043791201144,5.85,HIP 9132
028.2704462333,+29.5788278039,3.42,HIP 8796
028.2939964442344,+28.8189237318704,6.84,HIP 8804
029.5048120684248,+28.5199378594551,7.11,HIP 9166
030.5330151499518,+28.4002047132928,6.56,HIP 9493
031.8359189817735,+27.2376340486695,7,HIP 9897
033.5098108399040,+26.6269499655050,7.29,HIP 10402
031.7047673870465,+29.2694043486670,6.75,HIP 9858
034.3553620874116,+28.7450398776387,7.031,HIP 10680
034.7374727465605,+28.6426764141486,5.291,HIP 10793
036.7417293873553,+26.0408685782611,7.019,HIP 11405
036.7801573481390,+27.0123945610956,6.108,HIP 11415
042.1912799452884,+25.1880428048630,5.89,HIP 13121
315.8329552068888,+27.3315264015649,7.08,HIP 103919
316.5978336163311,+26.9243599538579,6.13,HIP 104172
315.6718244801248,+26.5080655992130,7.2,HIP 103861
321.3332570215256,+29.4616794334152,7.29,HIP 105770
322.3141103192752,+28.5829984896271,6.748,HIP 106081
325.2513882762399,+30.2973480530077,7.146,HIP 107059
324.05825846,+30.05542197,6.21,HIP 106661
326.0974284966589,+29.2656049753890,7.12,HIP 107335
326.1185815121359,+29.1940389961620,7.24,HIP 107343
328.7265488609555,+32.3387359608036,7.08,HIP 108167
327.4612250703176,+30.1742100120259,5.069,HIP 107763
331.1438230802368,+32.9417455119281,6.37,HIP 108969
330.1893927892767,+31.4499924805438,7.25,HIP 108660
332.3067455615383,+33.1723549309736,5.582,HIP 109352
332.4968488075,+33.1782215622,4.29,HIP 109410
332.5707422024981,+32.2881932591868,7.26,HIP 109437
334.8056941143378,+33.5067146563655,7.1,HIP 110191
336.2613072603659,+32.7912037614605,7.05,HIP 110657
336.9427276914331,+31.8400446118629,5.986,HIP 110873
337.5075612386627,+32.5726370929195,5.65,HIP 111068
340.8970446906250,+32.8220547796609,7.26,HIP 112212
342.8920286607604,+32.8155802325142,7.152,HIP 112883
343.1413070670415,+35.3375861064550,7.13,HIP 112952
344.6121690856750,+35.2824375756038,7.02,HIP 113436
345.4643995195547,+34.6125383295265,6.73,HIP 113719
346.7709695839833,+35.6364916002517,6.379,HIP 114152
347.5369653639244,+33.7678122897475,6.8,HIP 114404
349.0030040845728,+35.3996867133326,6.87,HIP 114868
349.8520365460834,+35.8251176085548,6.77,HIP 115145
349.8642235954937,+34.7931807651564,6.315,HIP 115148
349.4243411170633,+34.0465468324062,7.01,HIP 115017
349.6626335314183,+33.7273369054845,7.17,HIP 115092
354.3671425952518,+35.8148412161802,7.17,HIP 116579
353.1032739436016,+34.9523404249584,6.643,HIP 116181
353.6433235174262,+34.3561326418676,7.29,HIP 116348
352.6961927716141,+33.8356910260623,7.09,HIP 116042
354.6423226846388,+35.0332348675694,7.05,HIP 116667
354.9602406299941,+34.9554137383960,7.1,HIP 116761
357.1474605302435,+36.2745451464217,6.97,HIP 117426
355.7818404077100,+34.7465213901353,7.03,HIP 117000
357.4206658619644,+36.4252800618048,5.9,HIP 117503
359.5881614380094,+35.0130625107221,6.79,HIP 118177
001.3041889804877,+35.5710122656848,6.866,HIP 432
001.2238528643470,+34.6596670094515,6.11,HIP 394
005.5984017748985,+35.5363481970712,7.02,HIP 1769
007.1155039323267,+33.7989221907012,7.14,HIP 2241
007.8568246299917,+33.5816370618064,5.878,HIP 2475
008.0585496919621,+34.9938829728434,6.719,HIP 2539
009.2202052354,+33.7193439994,4.36,HIP 2912
010.9677683039210,+33.3107123643027,6.92,HIP 3438
009.3384134539505,+35.3995030220453,5.431,HIP 2942
012.4938768471719,+34.9741783529515,7.26,HIP 3897
014.0617483020247,+35.2286251407308,6.93,HIP 4390
012.9878861276881,+33.8899806182562,6.87,HIP 4058
014.5592458271075,+33.9508842540386,5.98,HIP 4552
015.9947744784590,+35.4694986203741,7.21,HIP 4990
016.1683697364926,+33.1830292062904,7.05,HIP 5055
017.4872842401889,+33.8814200297303,6.99,HIP 5465
018.5061454895788,+34.4926876282719,7.04,HIP 5765
018.3174411596968,+34.0984038269009,6.75,HIP 5694
019.0788421003670,+33.1147191671994,6.026,HIP 5936
021.9279878843320,+31.9665494557013,6.77,HIP 6819
023.9601561606533,+33.8353418116564,6.55,HIP 7439
023.7420767119983,+33.1178443671128,6.748,HIP 7370
025.6002993426598,+32.9618565584145,6.98,HIP 7969
025.9589289465835,+32.1920160847148,6.3,HIP 8086
026.0950416075995,+32.5158780146545,6.73,HIP 8122
028.9518333635608,+30.3546514910248,6.85,HIP 8986
029.5157151096035,+31.1343908997378,7.08,HIP 9171
032.8542624434899,+31.5263958160791,6.23,HIP 10220
033.09283344,+30.30306751,4.952,HIP 10280
034.4888774017078,+29.0072524941461,6.67,HIP 10714
035.0185791464717,+30.1880873087968,6.49,HIP 10884
036.3797844412406,+29.8803575315726,7.05,HIP 11304
036.1727671307042,+29.2448004303164,7.09,HIP 11240
037.0415806030895,+29.6693275892960,5.29,HIP 11486
037.2020603568155,+29.9317579328378,5.901,HIP 11548
038.2833130863801,+29.9646423918105,7.2,HIP 11869
039.0178840086714,+29.4038245490881,7.09,HIP 12115
040.1711422124274,+27.0609495733286,5.296,HIP 12489
040.8629651367941,+27.7071376049105,4.67,HIP 12719
042.4959718358,+27.2605072272,3.594,HIP 13209
043.8417441966391,+27.7223763280324,6.85,HIP 13609
315.8730420851718,+29.0925003707840,6.89,HIP 103930
317.9869255854002,+30.6191420331490,6.53,HIP 104653
318.2341080612,+30.2269154631,3.21,HIP 104732
317.9522170447497,+29.7116865921116,6.835,HIP 104643
318.5428512974747,+29.9009605925745,6.166,HIP 104822
319.7574317823873,+29.7431318972477,7.29,HIP 105240
321.0944911528953,+30.9366249107982,6.72,HIP 105688
320.6752423923985,+30.3098818421067,6.06,HIP 105558
322.7023744783285,+31.9578100705264,6.949,HIP 106215
328.7446364072719,+34.7731784505439,7.21,HIP 108172
328.8965506692048,+34.9770362038028,7.14,HIP 108234
327.0979661144787,+32.7961817467614,6.82,HIP 107657
327.3967702261476,+33.3120150271514,7.13,HIP 107744
329.0499674069600,+33.3657545642305,6.99,HIP 108278
327.6282367735537,+32.6575971215698,6.79,HIP 107813
330.0712274365612,+34.6295952727309,6.84,HIP 108621
331.7639554030226,+34.5214559045145,7.22,HIP 109182
330.1112507516739,+33.0059262113930,6.47,HIP 108632
330.6553009730411,+33.3794403151451,6.98,HIP 108812
332.5272877918828,+35.2138760739859,6.97,HIP 109418
333.1992672869375,+34.6045900934716,5.343,HIP 109654
334.8263679666305,+34.5377689987615,7.04,HIP 110194
335.7095048887874,+36.6590445421303,6.457,HIP 110487
336.1141482547250,+35.4331319088004,7.29,HIP 110603
337.4334911577587,+35.7256236376653,6.55,HIP 111041
339.7691052533866,+37.3754193983864,6.84,HIP 111828
339.8804990181163,+37.3536130339290,6.64,HIP 111864
339.8930548229419,+37.5928151382836,6.023,HIP 111869
340.2660360184454,+36.2635043174771,6.64,HIP 111990
339.0329225134803,+35.5775005651823,6.105,HIP 111567
339.2028275353707,+35.6524178259489,6.275,HIP 111627
340.7257685288445,+37.4473296993994,7.27,HIP 112140
342.0459783353181,+37.4166882576033,5.809,HIP 112590
345.8288872152347,+38.2985935263724,7.24,HIP 113847
343.7610302283491,+37.0768267141099,5.901,HIP 113174
343.9354485000040,+36.3513955494834,5.725,HIP 113222
346.5510846047171,+36.8202566141644,6.749,HIP 114074
348.1042300318790,+36.9677907944865,6.91,HIP 114565
351.1807827144419,+36.3621749754447,7.02,HIP 115579
350.2219317358550,+38.1823228884083,5.765,HIP 115280
350.3465418835526,+36.5011546674060,7.12,HIP 115317
352.6648370920128,+38.6622527780994,6.059,HIP 116030
353.6947583209696,+38.0240004578236,6.173,HIP 116365
353.6718099743525,+37.7999005156338,7.22,HIP 116360
355.0117358094965,+37.6526406772164,6.501,HIP 116781
358.5168382028935,+39.2825086329279,6.641,HIP 117844
359.7214880441451,+39.1110583383854,7.25,HIP 118230
000.0050251328916,+38.8592793927456,6.62,HIP 3
000.0533032729012,+38.3040449295293,6.524,HIP 19
004.17927138,+36.62981151,7.089,HIP 1333
003.2093536732587,+37.6936564790023,6.708,HIP 1030
004.27291187,+38.68163617,4.61,HIP 1366
005.2802873195914,+37.9686035153340,5.18,HIP 1686
005.3962444475337,+38.1871219402563,6.85,HIP 1715
004.9446566170991,+36.9624437642753,7.24,HIP 1579
004.5819060621,+36.7852251817,4.52,HIP 1473
005.7390405316169,+38.7542807592255,6.733,HIP 1809
008.1799887403324,+38.8437702720062,6.89,HIP 2576
007.2360952964419,+36.8996938268652,6.273,HIP 2270
009.0277385901439,+38.2519682552927,7.05,HIP 2851
008.7900656847460,+36.8322313291434,6.548,HIP 2753
013.2224100186876,+38.5488321477269,6.688,HIP 4129
012.8011069626732,+38.0422071650286,7.16,HIP 3981
013.3675950081869,+37.4182031648057,6.057,HIP 4185
014.1883837971,+38.4993439011,3.87,HIP 4436
015.1308815458606,+37.7915054040470,7.213,HIP 4710
016.8441425257854,+38.0288840776195,7.14,HIP 5270
017.43301617,+35.62055765,2.05,HIP 5447
017.7928218828456,+37.7241247973133,5.786,HIP 5550
019.6958692902663,+37.3862679958920,6.497,HIP 6140
021.0983549042,+36.8834793633,7.27,HIP 6568
020.8253878070072,+36.5146331535056,6.8,HIP 6480
022.3035485273486,+36.6277864367247,7.13,HIP 6925
023.1987852332708,+35.8426771722025,6.66,HIP 7201
023.0315723500455,+34.7999631337421,6.373,HIP 7147
024.7822099214385,+36.5433347478794,7.23,HIP 7700
023.4764980649479,+35.6082031501014,6.958,HIP 7289
023.6552483441152,+35.1117281165234,7.2,HIP 7344
025.5145392760043,+35.2457058734498,5.64,HIP 7943
027.7212045973428,+35.8450148660726,7.12,HIP 8591
030.7414913122653,+33.2841407798433,5.516,HIP 9570
034.3286126396,+33.8471930692,4,HIP 10670
033.9845334382315,+33.3588945949844,5.249,HIP 10559
036.3664804956136,+32.4076800826432,7.18,HIP 11299
036.8657134623502,+31.8012801603399,5.552,HIP 11432
039.1792992335266,+31.6076656778777,6.075,HIP 12160
041.9772559112,+29.2471147775,4.51,HIP 13061
040.5031152644101,+30.9357814402348,6.81,HIP 12600
041.9108566833765,+29.6785280872128,7.11,HIP 13047
042.5014121740225,+30.5262084861064,6.73,HIP 13210
044.0665256638027,+29.1640707891025,6.55,HIP 13684
315.7294541725182,+32.3498834041160,6.88,HIP 103876
317.5088438157571,+32.2057548502121,7.24,HIP 104492
316.6260177804981,+31.1846571077538,5.82,HIP 104185
318.3139208023785,+33.6931152041077,7.29,HIP 104747
318.1212155427659,+33.2393468381269,7.26,HIP 104696
319.3447948874841,+34.4214844174766,7.03,HIP 105099
320.0856008617036,+33.4854343861550,6.92,HIP 105352
320.3414061518702,+32.6127358981926,6.037,HIP 105432
320.20855548,+32.45221695,5.68,HIP 105390
319.7425640559861,+32.1807689964790,7.09,HIP 105234
321.9737175558105,+35.4091820167549,7.13,HIP 105984
324.3396903337938,+35.3276092101414,7.08,HIP 106742
325.2657695920052,+34.6751429365340,6.91,HIP 107066
325.5045133278577,+35.5101982385173,5.84,HIP 107129
326.4354701110024,+35.8573073712818,6.43,HIP 107445
327.0349762122426,+36.5803886124598,6.26,HIP 107637
328.3397654184897,+36.1266261889332,7.21,HIP 108042
328.8385017050048,+36.1462175607720,6.72,HIP 108213
330.5666539515482,+36.9828115032185,6.98,HIP 108789
332.9372538640913,+38.4158220463112,7.21,HIP 109569
333.9924030463,+37.7487329283,4.15,HIP 109937
334.7341945806385,+37.7692850330310,6.179,HIP 110171
335.1174257080930,+37.2980351355327,6.87,HIP 110300
338.1099025779892,+39.7797315550609,5.88,HIP 111259
338.8647077535968,+39.5857838341420,7.24,HIP 111505
338.9678446046389,+39.6343279053549,5.73,HIP 111546
338.9670766226509,+39.6281475412666,5.67,HIP 111544
339.8875101412220,+38.7484695308657,6.951,HIP 111866
339.0930209184335,+37.8422239493036,6.833,HIP 111589
339.8153276550,+39.0502697644,4.88,HIP 111841
340.7310291656975,+37.8027328668484,6.421,HIP 112144
340.3693716459146,+40.2254497895703,5.229,HIP 112031
341.02173963,+39.46534747,5.999,HIP 112241
341.2207501045235,+39.2010249066273,6.441,HIP 112305
343.5290938599895,+40.3768704707964,5.805,HIP 113084
343.2974003883750,+40.1673605970434,6.32,HIP 113009
343.2260136385817,+38.6160124909421,6.91,HIP 112987
344.4197403172742,+39.3087734367253,6.18,HIP 113371
345.2281186339926,+38.7078432636588,6.54,HIP 113640
347.4685136461318,+39.4692104526853,6.68,HIP 114373
351.0369590452777,+41.6128745875380,6.41,HIP 115530
351.1454547467230,+41.1129022249376,6.72,HIP 115567
351.5041697083570,+39.3394942670784,7.01,HIP 115667
353.3714431029129,+41.6380146687260,7.05,HIP 116267
353.6564021865834,+40.2364387424725,5.563,HIP 116354
355.2692095399557,+41.8505612381223,6.86,HIP 116847
355.3733731274908,+40.5544878997918,6.917,HIP 116882
358.2503416392053,+41.3456886210658,6.95,HIP 117769
001.15244610,+42.09253105,6.12,HIP 365
001.5842057208233,+40.8987485577261,6.94,HIP 525
002.2083464283594,+40.4945514443660,6.8,HIP 714
001.5177216409464,+40.4185299797724,6.658,HIP 508
001.9079714988672,+40.1479912703857,6.73,HIP 626
003.6405496771937,+41.0326105141332,6.68,HIP 1164
004.9231640318578,+40.7294639409051,6.34,HIP 1575
009.3600008256493,+40.3323769378959,6.842,HIP 2948
010.5059455449890,+40.6882544731395,7.03,HIP 3293
010.2799346328790,+39.4586635025793,5.33,HIP 3231
011.1549483510777,+40.6793619537860,7.22,HIP 3494
012.3172951211873,+41.0817632059671,7.067,HIP 3840
012.4535306883,+41.0789101056,4.53,HIP 3881
012.8755830629040,+41.2318591176957,7.249,HIP 4017
013.2156372201489,+40.2455697506602,6.78,HIP 4127
014.5411577450554,+39.4753695958835,6.539,HIP 4542
016.1518735097655,+39.9910625010474,6.76,HIP 5045
016.0187448942610,+38.6885390874286,7.08,HIP 5002
019.3191658528897,+39.4805450620143,6.68,HIP 6010
020.9192366954935,+37.7149467652408,5.587,HIP 6514
023.5692591710720,+37.2371879297531,5.91,HIP 7321
022.8596200837642,+38.7671228575343,7.26,HIP 7095
025.6705589989784,+38.5154286742829,7.23,HIP 7994
027.1621884567889,+37.9528700987661,5.929,HIP 8423
026.0965173678487,+37.6683777088328,7.18,HIP 8123
028.0930189018291,+37.4297894264070,6.89,HIP 8734
028.7402549470668,+37.1282963448761,6.267,HIP 8930
028.9770034346424,+37.2777908423442,5.867,HIP 9001
032.38594634,+34.98729706,3,HIP 10064
035.9712182764815,+33.8578253801916,7.25,HIP 11176
036.2917834752373,+33.8667568235594,7.26,HIP 11272
035.8698996012106,+35.4410585494016,6.76,HIP 11153
036.3611109116277,+35.0419270805337,6.85,HIP 11296
039.2773728749605,+32.8910894027737,6.226,HIP 12200
036.7017389763242,+35.6142707402476,7.04,HIP 11395
038.9450640787192,+34.6875446598165,5.374,HIP 12086
038.9588442794201,+34.7253443215571,6.73,HIP 12091
038.2192485826443,+34.5423837388461,5.826,HIP 11840
037.5691945672622,+33.8337220408197,6.252,HIP 11651
038.5591482866437,+33.7928101004899,6.7,HIP 11956
040.5769603716167,+34.2947388068563,6.94,HIP 12628
043.9219781039956,+31.0430961480766,6.93,HIP 13645
042.6084501097738,+31.9728885573790,6.58,HIP 13241
044.5782152623322,+32.4608765363513,6.61,HIP 13851
043.3515518276567,+31.6446830609029,6.6,HIP 13464
044.3220095063666,+31.9342215567654,5.093,HIP 13775
317.7656966753893,+36.2995793312449,6.515,HIP 104579
318.2223630762413,+35.7976627860911,6.78,HIP 104728
318.3601064765143,+36.6332602520589,6.071,HIP 104765
319.4795292317002,+34.8968805485611,4.42,HIP 105138
320.8459254347329,+37.4065195401663,6.55,HIP 105607
320.9516193367978,+37.3514771424720,6.43,HIP 105637
321.8390244322245,+37.1167959996882,5.293,HIP 105942
321.4459376771338,+36.6673847630780,5.94,HIP 105811
323.6941072621413,+38.5340629761155,4.91,HIP 106551
325.8568848649625,+38.2835900717442,5.695,HIP 107253
325.9027011301467,+38.3045621487828,6.984,HIP 107268
326.6932606682107,+37.6579880017117,7.26,HIP 107532
327.0767785661975,+38.9561250221963,7.242,HIP 107653
327.7707542901692,+39.5366557452387,6.193,HIP 107856
328.2002039531761,+38.8355083194063,7.073,HIP 107997
327.1223092697912,+38.6485861196866,6.091,HIP 107664
330.2779117631361,+39.2459469919470,7.109,HIP 108695
332.8402123005846,+39.7115590072826,7.24,HIP 109543
333.4696971312260,+39.7149289319275,4.49,HIP 109754
336.8604092953517,+39.8100248116302,6.16,HIP 110849
335.4619717717049,+42.0781613349965,6.369,HIP 110408
335.4701351110012,+40.6664253355401,6.54,HIP 110412
339.3123734145600,+42.8103429562780,6.84,HIP 111664
338.3942358256995,+40.8190205019824,6.53,HIP 111355
338.6257705734889,+40.7748987141703,7.022,HIP 111429
340.0239797426927,+40.6701456065963,6.85,HIP 111907
343.0084717766054,+43.3124174346420,4.938,HIP 112917
341.0228259433891,+41.8192336563862,5.08,HIP 112242
342.9559368052287,+41.3129640913641,7.062,HIP 112905
342.5907383898497,+41.9533832021709,5.91,HIP 112778
344.6905862634918,+43.8387440804759,7.162,HIP 113469
345.68811580,+44.05875066,6.415,HIP 113802
344.3571253733213,+43.0128214674509,6.66,HIP 113354
344.0984553849117,+41.6038744994105,5.587,HIP 113281
345.4802691375,+42.3259814953,3.62,HIP 113726
348.2563748936628,+42.0621936472788,6.902,HIP 114604
349.5971750922901,+41.7736675297901,5.97,HIP 115065
350.1837422934715,+44.1161664034209,6.24,HIP 115261
349.9684293337335,+42.0780759367142,5.789,HIP 115191
351.7808340566546,+42.9120099716899,5.736,HIP 115755
352.9594439170685,+44.0728923037761,6.76,HIP 116127
353.4925503803555,+43.9042367541185,6.91,HIP 116312
353.3502694143019,+42.8466073631406,7.154,HIP 116259
354.38351167,+44.42899230,5.846,HIP 116582
354.5149350165137,+43.0778639460507,6.98,HIP 116626
354.5341720763,+43.2680735778,4.29,HIP 116631
354.6101896530699,+42.5115074984971,6.91,HIP 116657
355.1021151333,+44.3339323875,4.14,HIP 116805
355.5595330761982,+44.7554045745853,6.98,HIP 116940
356.1893661511545,+43.7462855247836,6.93,HIP 117129
357.9618903201118,+42.9098256678914,6.8,HIP 117672
359.2651337571455,+42.6582321893426,6.02,HIP 118071
000.4327036238592,+42.3671425692490,6.24,HIP 137
000.3901683508342,+44.6754023647447,6.82,HIP 119
000.7847772249085,+42.7479050684093,6.72,HIP 254
003.1423095509571,+44.7071898740244,6.52,HIP 1009
003.1492393647717,+44.3163133007518,7.01,HIP 1011
003.4110757542796,+42.9493920440796,7.25,HIP 1093
004.5823496693391,+44.5584140406506,7.16,HIP 1474
004.6695476629916,+44.6299844135727,7.05,HIP 1496
003.8243201722483,+44.2033930610275,6.77,HIP 1233
004.0897027472555,+43.5950502628050,6.15,HIP 1302
004.6757023480451,+43.7911403762022,6.11,HIP 1501
005.7631366904467,+44.5252371596398,7.29,HIP 1818
006.0219362130374,+44.2647339016073,6.655,HIP 1905
007.0569115187033,+44.3944745921270,5.173,HIP 2225
007.8037842280801,+43.9465401681281,6.75,HIP 2455
008.1116778387,+43.4947929364,6.71,HIP 2553
009.1935012599480,+44.4885880204963,5.129,HIP 2900
015.7260565038909,+41.3452131304055,5.932,HIP 4903
014.1278281997210,+42.9787868505776,6.51,HIP 4411
016.8383300560017,+43.5235353340069,7.26,HIP 5269
016.9448302267679,+41.5132654721532,7.25,HIP 5298
017.5780834495672,+42.0814748017619,5.665,HIP 5493
019.1218865751997,+42.9394174103869,6.59,HIP 5944
019.6382903006043,+43.2811357415053,7.13,HIP 6118
021.9453667410062,+40.3358036174464,6.587,HIP 6823
020.0204476360640,+41.9705237686976,6.94,HIP 6241
021.5703282693434,+42.3112372362172,7.22,HIP 6709
022.1431679037443,+42.2676913580008,6.66,HIP 6878
021.8611358826425,+41.1011619749245,6.425,HIP 6794
025.0715080921934,+39.5877348288947,7.18,HIP 7793
023.9690648842881,+41.0764171979624,6.386,HIP 7444
024.9922754505758,+41.6667338295610,6.85,HIP 7767
025.0180003267820,+40.6837613865242,6.67,HIP 7775
025.1450685463,+40.5770483972,4.94,HIP 7818
024.19934235,+41.40545674,4.1,HIP 7513
025.6544197313438,+40.3773614770598,6.7,HIP 7991
028.3222683966062,+40.7297927091695,5.394,HIP 8814
