RA,Dec,MagV,Identifier
314.2934127850,+41.1671386414,3.94,HIP 103413
314.6136052173136,+41.3577284762012,7.13,HIP 103528
314.8677695897019,+40.9602360549847,6.98,HIP 103603
319.0713596643536,+44.2382369140505,6.37,HIP 105017
316.2327595458,+43.9278512389,3.73,HIP 104060
319.6132731946933,+43.9459412288156,5,HIP 105186
320.8370957535915,+44.5182898448693,7.17,HIP 105602
322.2763977006035,+44.9230766730972,6.941,HIP 106071
322.6076718203069,+44.8749892664488,6.76,HIP 106184
321.9763502986572,+46.5615102450847,6.857,HIP 105986
322.3622914518043,+46.5405839919406,5.217,HIP 106093
322.4030382588356,+46.4264589199526,6.72,HIP 106108
323.3245208862603,+45.8540149552634,6.209,HIP 106420
323.4952207700,+45.5918382919,4.02,HIP 106481
325.5348037159148,+45.7656939430244,6.23,HIP 107140
324.0104007925,+45.3745914361,5.38,HIP 106642
322.5037226612984,+45.4941832195424,6.951,HIP 106145
325.2923869595364,+47.5451830794324,7.29,HIP 107075
326.1058994835676,+46.8628309488184,6.6,HIP 107339
329.2704409814401,+46.5924311951335,6.788,HIP 108353
329.2592499712773,+48.6685652848877,6.504,HIP 108348
331.4634096769253,+48.2314927835675,6.254,HIP 109082
332.1742996433877,+47.9335295651441,6.86,HIP 109304
331.2358704694843,+47.2345783945958,6.96,HIP 109002
327.9807621415159,+48.4371080431460,6.85,HIP 107923
332.0678487781596,+49.7969886383149,6.4,HIP 109272
332.7477440589090,+49.0476801806831,7.28,HIP 109503
333.4078410639707,+49.4712714832269,7.08,HIP 109727
334.3680115819438,+49.1269554639400,6.45,HIP 110055
332.7700706461314,+48.6773815984334,6.628,HIP 109514
332.2559433131207,+48.5188142825456,7.17,HIP 109338
337.8229221208,+50.2824911667,3.77,HIP 111169
337.5270968775084,+49.3564136031642,6.42,HIP 111072
336.1291283097633,+49.4763886746936,4.58,HIP 110609
340.2614937661633,+51.7584833434067,6.74,HIP 111988
339.3434052733,+51.5451217614,4.63,HIP 111674
341.0721700566792,+49.4120864998656,7.03,HIP 112261
342.0335048861331,+49.5827031881556,6.84,HIP 112585
338.9724266524814,+50.0707877234115,6.275,HIP 111550
344.8035204168791,+52.3029843929366,6.97,HIP 113505
343.1586440879705,+50.7049012295480,7.09,HIP 112964
343.2177020079490,+50.4122845082640,6.463,HIP 112986
344.1083270028362,+49.7335421695796,4.94,HIP 113288
341.9779917594340,+51.9794207593952,7.13,HIP 112565
342.3231938035215,+50.9767085523613,6.75,HIP 112697
342.5420568489149,+50.6769181947634,6.23,HIP 112761
347.5238826877067,+49.9905999453561,7.272,HIP 114395
347.8481349435346,+50.7713750210817,6.81,HIP 114501
348.5599233194574,+50.6178943614440,6.31,HIP 114714
346.7758835271056,+50.1923580936560,6.92,HIP 114154
351.4004222997615,+52.9794657823076,6.8,HIP 115643
350.6974786863992,+51.0476258750923,7.27,HIP 115416
355.7735969638180,+53.1525984602258,6.63,HIP 116993
353.8632404968699,+52.2910350168886,6.9,HIP 116418
353.9274449399291,+51.2639458786558,6.85,HIP 116440
355.7710674262183,+51.9393325007373,6.44,HIP 116991
359.8870399683669,+50.8325728243836,7.189,HIP 118289
358.8859265027361,+52.7355800086781,6.6,HIP 117954
357.5926385903353,+51.6216602588773,6.472,HIP 117551
358.3929285353827,+51.5225798729829,6.78,HIP 117807
359.6036251216395,+51.3888033270183,4.8,HIP 118188
001.3955432717206,+53.1716941932657,7.22,HIP 466
002.5685933576033,+52.2551377582684,7.2,HIP 838
006.2767114664557,+53.0467780893368,5.719,HIP 1982
006.0652200009238,+52.0199161103922,5.58,HIP 1921
004.4294287602850,+51.4330876674530,6.14,HIP 1415
010.6582857653417,+52.3371514114499,6.946,HIP 3346
010.3029549701135,+52.1976636989264,6.73,HIP 3240
008.1250069902981,+51.7282546373711,6.93,HIP 2557
007.9214873007964,+52.8395271133865,5.596,HIP 2497
012.1712622385550,+52.1008085275060,6.85,HIP 3787
014.3341593838077,+52.2399362037101,7.06,HIP 4477
014.4824449689223,+52.1367741764314,7.29,HIP 4523
011.99594175,+51.44475345,7.25,HIP 3736
012.2084046166951,+50.9681661546730,4.891,HIP 3801
012.7391466664367,+51.5080341753311,6.36,HIP 3965
012.8907914822224,+51.5714246893145,6.22,HIP 4023
010.5162195707176,+50.5125198426853,4.81,HIP 3300
016.8078511451845,+49.5554626409059,6.82,HIP 5262
015.7241391275,+51.7980927842,6.856,HIP 4902
015.5769257669216,+51.0349460947021,6.49,HIP 4844
017.6429854003462,+51.0133891722369,6.9,HIP 5512
018.2245509336713,+51.6023549750942,7.277,HIP 5674
016.1949949827037,+51.0097816725551,6.52,HIP 5062
019.44991592,+49.00844952,7.16,HIP 6060
020.1689936525204,+51.5948400788686,7.15,HIP 6287
020.4664283210873,+50.1219859267085,6.55,HIP 6371
022.7455162942837,+49.3432252013930,6.83,HIP 7057
028.3712513476746,+49.4448331489069,7.06,HIP 8826
025.7962718269482,+48.5167683282064,6.79,HIP 8034
026.0572529552863,+48.2113173795869,7.002,HIP 8108
024.1133325791100,+48.7227777168900,6.22,HIP 7493
024.4981541358,+48.6282137592,3.57,HIP 7607
027.7607323372856,+47.4195414677178,7.28,HIP 8609
029.4968136968250,+47.0955216995803,6.45,HIP 9163
029.6396101941228,+49.2043523886999,5.702,HIP 9222
027.31476233,+47.89692296,5.82,HIP 8475
033.9905556490228,+47.8119417859075,6.36,HIP 10562
033.6931338040056,+46.6874886102231,6.91,HIP 10456
034.8199871981980,+47.3799758983489,5.31,HIP 10819
035.1729730105382,+47.3108100467159,6.154,HIP 10924
030.5833869989606,+46.8425040158524,7.07,HIP 9508
034.7951021069031,+46.4722626324018,6.22,HIP 10814
037.81526921,+46.39495137,7.11,HIP 11719
037.9755704038120,+46.5854634607700,7.013,HIP 11770
037.4422567475610,+46.0318137383530,6.717,HIP 11611
041.8798125552213,+44.2722006759913,6.47,HIP 13036
040.8974112305396,+43.5379697314056,6.769,HIP 12725
041.0214966038387,+44.2970413381705,5.435,HIP 12768
043.0936585006785,+42.0209610747556,6.84,HIP 13393
044.9161616789964,+41.0329394392491,5.877,HIP 13949
044.7057208198791,+43.3644947388079,6.65,HIP 13887
046.3375429177194,+40.5821797600362,6.05,HIP 14365
046.1160246429294,+40.2927871117640,6.91,HIP 14303
047.8224233704,+39.6115837217,4.607,HIP 14817
046.3293493328480,+41.1208508943126,7.28,HIP 14363
049.29774775,+40.48297034,6.46,HIP 15282
048.5353167900998,+40.1190361413067,7.04,HIP 15065
047.0422185563,+40.9556466703,2.12,HIP 14576
045.2975247989893,+40.7965906951195,6.92,HIP 14063
049.8297194651119,+39.0554739748189,7.27,HIP 15456
049.4406460619386,+39.2833741025681,5.967,HIP 15334
305.8256876073590,+40.7590546636585,7.01,HIP 100548
306.5160742055657,+40.4017019820885,6.636,HIP 100784
306.2033194358072,+40.1536158850983,6.733,HIP 100691
306.6823742905376,+39.4959228328817,7.069,HIP 100834
307.1074630629253,+39.3289524206192,6.954,HIP 100979
305.5570909821,+40.2566791564,2.23,HIP 100453
305.6887335068093,+41.0260118922520,5.93,HIP 100501
305.7402253391567,+39.2110345545421,6.733,HIP 100518
304.3549044728125,+39.5935397657728,6.51,HIP 100013
309.3458254605169,+42.9911815816498,7.263,HIP 101755
310.9732506764829,+42.2201932981466,6.994,HIP 102321
308.4523085008156,+41.7726577837718,6.504,HIP 101467
308.8250980011821,+41.8901729265641,6.625,HIP 101588
310.4854242278868,+41.7168730801264,5.664,HIP 102155
310.2219948432514,+41.2024954721850,7.01,HIP 102051
308.6500148559697,+41.0984005950102,6.65,HIP 101533
314.1018713717485,+43.9006639019636,7.04,HIP 103356
310.0131639821884,+43.4588768376963,5.965,HIP 101986
313.8603537725796,+43.3672267509310,6.704,HIP 103282
314.0483169671725,+43.4243099309007,6.861,HIP 103341
313.3114792825,+44.3872613478,4.77,HIP 103089
314.7277292672102,+46.2525245920548,7.038,HIP 103557
315.2955324272633,+46.1557756057539,5.432,HIP 103732
313.3273726553795,+45.1816812590945,5.462,HIP 103094
314.7993475477181,+44.7904854498400,7.16,HIP 103579
314.9637415256714,+44.9964496304871,6.647,HIP 103637
314.5811248387633,+44.4716571278168,5.547,HIP 103519
315.7025805691337,+45.8488885453319,6.486,HIP 103871
315.6008317906996,+44.7909799596961,6.23,HIP 103828
315.4477645007843,+44.1869084994321,6.742,HIP 103779
316.7187056936263,+45.6755422343823,7.25,HIP 104220
314.1449089051920,+44.9247224360754,5.96,HIP 103371
313.4735509574360,+44.3864106193723,7.24,HIP 103144
313.9958645697278,+44.3739320575253,6.821,HIP 103322
314.7318395286551,+44.0604498695348,6.638,HIP 103559
315.9311114529064,+46.8631364543519,6.31,HIP 103949
316.8487840623523,+47.2775158219478,7.28,HIP 104268
317.2411310828276,+47.2710032133661,6.962,HIP 104396
319.5121350067871,+46.8572878285010,7.02,HIP 105153
320.3352776112337,+46.7298263701307,6.72,HIP 105430
317.8148151491045,+45.6742270704389,6.671,HIP 104592
315.20774003,+46.57858674,7.27,HIP 103700
317.4942978205434,+45.5025533648022,6.63,HIP 104483
321.2309969585783,+49.3231261913224,6.58,HIP 105733
321.7150876759851,+48.8351663623267,5.31,HIP 105898
320.3715025223399,+48.1674226584873,7.28,HIP 105447
320.95906332,+47.16455001,7.08,HIP 105640
321.3314539910275,+46.7143400508401,5.58,HIP 105769
318.9049076129890,+47.9739955639613,6.441,HIP 104962
323.2357973557711,+49.9776305934506,5.755,HIP 106393
324.6198886010495,+49.7952639070808,7.023,HIP 106848
325.0481289454964,+49.6829981149149,7.18,HIP 107000
324.9815854464842,+49.1327853876256,7.12,HIP 106974
325.6617101186900,+49.6002470347545,6.089,HIP 107186
322.9266019024641,+48.5846156277872,6.827,HIP 106293
323.0711424541732,+48.4438321728504,6.572,HIP 106346
323.2921259837813,+48.3034049451184,6.83,HIP 106409
325.5878801740105,+50.8580263579080,7.231,HIP 107159
326.5117833274887,+50.6741499353159,7.022,HIP 107469
327.2680315711580,+49.6771063309843,7.02,HIP 107704
326.6983679908,+49.3095697489,4.18,HIP 107533
331.6661542227780,+51.8058551851466,7.066,HIP 109157
332.7912187644975,+50.8234123417663,5.377,HIP 109521
333.3494501695181,+53.1540986881111,7.26,HIP 109713
334.6569430918508,+52.6560326549448,7.29,HIP 110142
335.0946224457823,+51.8609993229674,6.98,HIP 110287
335.8900989442,+52.2290457375,4.44,HIP 110538
335.1646656845590,+50.9808137020525,6.37,HIP 110316
336.2640642577894,+51.2558683048356,6.518,HIP 110661
336.4427349810808,+53.8166063202106,7.14,HIP 110704
338.0780075273226,+54.0370267991835,6.37,HIP 111247
337.4728229869543,+52.4166078291648,6.52,HIP 111058
342.1995669377942,+54.4148925598918,6.124,HIP 112641
341.4003431702220,+52.8903054982459,7,HIP 112369
341.8286749028255,+53.3817810879709,6.86,HIP 112500
342.9376892562632,+53.0284889394819,7.27,HIP 112896
344.7930878204875,+52.6545302091545,6.293,HIP 113501
340.0766965583320,+53.8459262428452,5.92,HIP 111925
340.5867040007699,+53.9087470934586,6.106,HIP 112098
341.2046554841651,+52.5172103918216,6.41,HIP 112300
346.7918965200523,+52.8165990086287,6.12,HIP 114162
